7zip-bin 21.03-1
ack 3.5.0-2
adobe-source-han-sans-cn-fonts 2.004-1
akonadi-calendar-tools 21.04.3-1
akonadi-import-wizard 21.04.3-1
akonadiconsole 21.04.3-1
akregator 21.04.3-1
amd-ucode 20210716.b7c134f-1
archlinuxcn-keyring 20210401-1
ark 21.04.3-1
artikulate 21.04.3-1
audiocd-kio 21.04.3-1
autoconf 2.71-1
automake 1.16.4-1
base 2-2
bind 9.16.19-1
binutils 2.36.1-3
bison 3.7.6-1
blinken 21.04.3-1
bluedevil 1:5.22.4-1
bluez-utils 5.60-1
bomber 21.04.3-1
bovo 21.04.3-1
brave-bin 1:1.26.77-1
breeze 5.22.4-1
breeze-gtk 5.22.4-1
cantor 21.04.3-2
cervisia 21.04.3-1
cmake 3.21.1-1
conky 1.12.2-1
cowsay 3.04-2
ctags 1:r20210106+g08b1c490-1
dhcpcd 9.4.0-1
dialog 1:1.3_20210621-1
dmidecode 3.3-1
dnsmasq 2.85-1
dolphin 21.04.3-1
dolphin-plugins 21.04.3-1
dragon 21.04.3-1
drkonqi 5.22.4-1
dstat 0.7.4-5
earlyoom 1.6.2-1
edk2-ovmf 202105-1
efibootmgr 17-2
electron-wechat 1.0.0-1
elisa 21.04.3-1
exo 4.16.2-1
fakeroot 1.25.3-2
fbterm 1.7_5-1
fcitx5 5.0.8-1
fcitx5-configtool 5.0.5-1
fcitx5-gtk 5.0.7-1
fcitx5-material-color 0.2.1-1
fcitx5-pinyin-zhwiki 1:0.2.3.20210804-1
fcitx5-qt 5.0.6-1
fcitx5-rime 5.0.6-1
fcitx5-skin-arc 0.0.0.20201005-1
fcitx5-skin-simple-blue 0.0.0.20200618-1
ffmpegthumbs 21.04.3-1
file 5.40-5
file-roller 3.40.0-1
filelight 21.04.3-1
findutils 4.8.0-1
firefox 90.0.2-1
firewalld 1.0.0-3
fish 3.3.1-1
flameshot 0.10.1-1
flex 2.6.4-3
garcon 4.16.1-1
gawk 5.1.0-1
gcc 11.1.0-1
gettext 0.21-1
gnu-netcat 0.7.1-8
google-chrome 92.0.4515.131-1
gparted 1.3.1-1
granatier 21.04.3-1
grantlee-editor 21.04.3-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gwenview 21.04.3-1
gzip 1.10-3
htop 3.0.5-1
i2c-tools 4.2-1
iftop 1.0pre4-4
indicator-china-weather 3.0.4-1
intel-ucode 20210608-1
iotop 0.6-8
iptables-nft 1:1.8.7-1
itinerary 21.04.3-1
iw 5.9-1
juk 21.04.3-1
k3b 1:21.04.3-1
kactivitymanagerd 5.22.4-1
kaddressbook 21.04.3-1
kajongg 21.04.3-1
kalarm 21.04.3-1
kalgebra 21.04.3-1
kalzium 21.04.3-1
kamera 21.04.3-1
kamoso 21.04.3-1
kanagram 21.04.3-1
kapman 21.04.3-1
kapptemplate 21.04.3-1
kate 21.04.3-1
katomic 21.04.3-1
kbackup 21.04.3-1
kblackbox 21.04.3-1
kblocks 21.04.3-1
kbounce 21.04.3-1
kbreakout 21.04.3-1
kbruch 21.04.3-1
kcachegrind 21.04.3-1
kcalc 21.04.3-1
kcharselect 21.04.3-1
kcolorchooser 21.04.3-1
kcron 21.04.3-1
kde-cli-tools 5.22.4-1
kde-dev-scripts 21.04.3-1
kde-dev-utils 21.04.3-1
kde-gtk-config 5.22.4-1
kdebugsettings 21.04.3-1
kdeconnect 21.04.3-1
kdecoration 5.22.4-1
kdegraphics-mobipocket 21.04.3-1
kdegraphics-thumbnailers 21.04.3-1
kdenetwork-filesharing 21.04.3-1
kdenlive 21.04.3-1
kdepim-addons 21.04.3-1
kdeplasma-addons 5.22.4-1
kdesdk-kioslaves 21.04.3-1
kdesdk-thumbnailers 21.04.3-1
kdf 21.04.3-1
kdialog 21.04.3-1
kdiamond 21.04.3-1
keditbookmarks 21.04.3-1
kfind 21.04.3-1
kfloppy 21.04.3-1
kfourinline 21.04.3-1
kgamma5 5.22.4-1
kgeography 21.04.3-1
kget 21.04.3-1
kgoldrunner 21.04.3-1
kgpg 21.04.3-1
khangman 21.04.3-1
khelpcenter 21.04.3-1
khotkeys 5.22.4-1
kig 21.04.3-1
kigo 21.04.3-1
killbots 21.04.3-1
kimagemapeditor 21.04.3-1
kinfocenter 5.22.4-1
kio-extras 21.04.3-2
kio-gdrive 21.04.3-1
kipi-plugins 21.04.3-1
kirigami-gallery 21.04.3-1
kiriki 21.04.3-1
kiten 21.04.3-1
kjumpingcube 21.04.3-1
kleopatra 21.04.3-1
klettres 21.04.3-1
klickety 21.04.3-1
klines 21.04.3-1
kmag 21.04.3-1
kmahjongg 21.04.3-1
kmail 21.04.3-1
kmail-account-wizard 21.04.3-1
kmenuedit 5.22.4-1
kmines 21.04.3-1
kmousetool 21.04.3-1
kmouth 21.04.3-1
kmplot 21.04.3-1
knavalbattle 21.04.3-1
knetwalk 21.04.3-1
knights 21.04.3-1
knotes 21.04.3-1
kolf 21.04.3-1
kollision 21.04.3-1
kolourpaint 21.04.3-1
kompare 21.04.3-1
konqueror 21.04.3-1
konquest 21.04.3-1
konsole 21.04.3-1
kontact 21.04.3-1
kontrast 21.04.3-1
konversation 21.04.3-1
